aquired_current,ambiant_temperature,mixing_cycle_flowrate,chaud_flowrate,froid_flowrate,out_aerotherme,out_heat_exchanger,temp_out_froid,temp_in_froid,temp_out_chaud,temp_in_chaud,aerotherme_acquis,process_value
11.95648,21.211226,9.064168,14.341986,16.380775,42.35722,16.96832,16.729716,26.006857,41.723534,30.270086,25,30.270086
11.974187,21.191126,9.061413,14.386199,16.430717,42.361497,16.967848,16.724687,26.02766,41.730818,30.270559,25,30.270559
11.974492,21.190029,9.071563,14.387837,16.432764,42.364919,16.967723,16.722801,26.030812,41.735379,30.272579,25,30.272579
11.967776,21.185647,9.059528,14.415266,16.438495,42.368436,16.968351,16.719407,26.018645,41.741651,30.274883,25,30.274883
11.944573,21.183707,9.016466,14.387428,16.437267,42.373189,16.967848,16.716955,26.013413,41.747479,30.276587,25,30.276587
11.964417,21.17438,9.03314,14.401347,16.445864,42.379209,16.966497,16.715949,26.020221,41.75299,30.277818,25,30.277818
11.974492,21.163761,9.047204,14.397662,16.442998,42.385419,16.966748,16.714943,26.02703,41.760591,30.279712,25,30.279712
11.993726,21.135431,9.044304,14.398072,16.42253,42.390488,16.965333,16.715415,26.108508,41.765025,30.280659,25,30.280659
11.985483,21.114561,9.028935,14.403394,16.411887,42.394797,16.964327,16.717552,26.117712,41.76946,30.281669,25,30.281669
11.988536,21.108349,9.104331,14.406669,16.415162,42.397966,16.96351,16.720632,26.114529,41.772849,30.282963,25,30.282963
11.960754,21.103589,9.078812,14.395615,16.436448,42.400754,16.963133,16.723713,26.114907,41.77665,30.283973,25,30.283973
11.987009,21.105587,9.061993,14.382515,16.418027,42.404018,16.963227,16.726196,26.127546,41.781021,30.284762,25,30.284762
11.98762,21.100981,9.090992,14.407488,16.423758,42.408707,16.963604,16.72783,26.153898,41.784821,30.286024,25,30.286024
11.975408,21.0981,9.040245,14.414857,16.436858,42.412509,16.961089,16.729873,26.170288,41.792106,30.287129,25,30.287129
11.979987,21.100192,9.013856,14.407488,16.459372,42.415424,16.962095,16.734399,26.155537,41.799455,30.288013,25,30.288013
11.99342,21.109991,9.016901,14.382924,16.450367,42.41948,16.962913,16.739963,26.138326,41.805473,30.288044,25,30.288044
11.981514,21.104378,9.024875,14.408716,16.418027,42.424549,16.963164,16.746626,26.129122,41.811427,30.28836,25,30.28836
11.976629,21.105782,9.059528,14.430413,16.453232,42.430031,16.962976,16.754138,26.123638,41.817762,30.289433,25,30.289433
12.001968,21.115188,9.03053,14.423044,16.458144,42.434847,16.962976,16.761933,26.102835,41.824097,30.291074,25,30.291074
11.98304,21.111782,9.03488,14.455795,16.452413,42.440075,16.96219,16.770891,26.153267,41.831065,30.290601,25,30.290601
11.978766,21.11346,9.099256,14.43901,16.477384,42.445652,16.962693,16.780069,26.220092,41.838033,30.291737,25,30.291737
11.995252,21.114143,9.077217,14.420179,16.463875,42.450088,16.963384,16.788305,26.23311,41.843766,30.29363,25,30.29363
12.016012,21.104223,9.062428,14.402575,16.443407,42.454333,16.963762,16.795345,26.219745,41.848137,30.295272,25,30.295272
12.007769,21.086146,9.025165,14.394387,16.433173,42.458389,16.964013,16.80138,26.201211,41.851907,30.296944,25,30.296944
12.017233,21.063009,9.026615,14.37269,16.426624,42.461304,16.965019,16.807038,26.192511,41.856721,30.300227,25,30.300227
12.041657,21.049634,8.999647,14.394387,16.443817,42.466532,16.966905,16.81301,26.2327,41.865273,30.302121,25,30.302121
12.036467,21.036914,8.961659,14.427957,16.46715,42.468814,16.968414,16.816782,26.289313,41.870848,30.304267,25,30.304267
12.046847,21.039983,8.988338,14.398481,16.483934,42.472141,16.969263,16.822063,26.340159,41.876898,30.306508,25,30.306508
